title,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_score,tmdb_score
The Open House,MOVIE,A teenager and his mother find themselves besieged by threatening forces when they move into a new house.,2018,,94,"['thriller', 'horror']",['US'],3.3,3.69
Small Crimes,MOVIE,"A disgraced former cop, fresh off a six-year prison sentence for attempted murder, returns home looking for redemption but winds up trapped in the mess he left behind.",2017,,95,"['drama', 'thriller', 'crime']","['CA', 'US']",5.8,5.3
The Bleeding Edge,MOVIE,"Each year in the United States, unparalleled innovations in medical diagnostics, treatment, and technology hit the market. But when the same devices designed to save patients end up harming them, who is accountable?",2018,,99,['documentation'],['US'],7.6,6.7
All I Wish,MOVIE,"A woman struggles to escape the clutches of her overbearing, co-dependent mother, while gradually falling for a sexy, sophisticated attorney.",2018,G,94,"['romance', 'comedy', 'drama']",['US'],5.2,5.873
The Week Of,MOVIE,The parents of a soon-to-be married couple make the final preparations for the wedding ceremony.,2018,PG-13,116,['comedy'],['US'],5.2,5.4
Abby Hatcher,SHOW,"Abby Hatcher is part girl, part superhero; living in a world full of fuzzlies. When a fuzzly friend needs help, Abby takes action – going on a mission to make things right.",2018,TV-Y,16,"['family', 'fantasy', 'animation', 'comedy']",['US'],5.7,4
Buddy Thunderstruck,SHOW,"Follow the outrageous, high-octane adventures of Buddy Thunderstruck, a truck-racing dog who brings guts and good times to the town of Greasepit.",2017,TV-Y7,23,"['animation', 'action', 'comedy', 'family', 'sport']",['US'],7.8,8
The Curious Creations of Christine McConnell,SHOW,"Wickedly talented baker and artist Christine McConnell fills her home with haunting confections, creepy crafts -- and wildly inappropriate creatures.",2018,TV-PG,27,"['comedy', 'reality', 'horror']",['US'],7.7,7.3
First Team: Juventus,SHOW,Follow renowned soccer club Juventus on and off the pitch as they attempt to win a seventh straight Italian title and achieve Champions League glory.,2018,TV-G,36,"['scifi', 'documentation', 'reality', 'sport']",['IT'],7.2,7.5
Kavin Jay : Everybody Calm Down!,MOVIE,"On a mission to defy stereotypes, Malaysian stand-up comedian Kavin Jay shares stories about growing up in the VHS era with his Singapore audience.",2018,,53,"['comedy', 'documentation']",[],6,4.2
Becoming Champions,SHOW,This series looks at the stories behind the athletes and countries that have achieved World Cup champion status.,2018,TV-G,51,"['documentation', 'sport']",['US'],6.6,6.5
The Fortress,MOVIE,"Ancient Korea, 17th century. The powerful Khan of the Jurchen tribe of Manchuria, who fights the Ming dinasty to gain China, becomes the first ruler of the Qing dinasty and demands from King In-jo of Joseon to bow before him; but he refuses, being loyal to the Mings. On December 14th, 1636, the Qing horde invades Joseon, so King In-jo and his court shelter in the mountain fortress of Namhan and prepare to defend the kingdom.",2017,,140,"['drama', 'action', 'history', 'war', 'thriller']",['KR'],6.8,6.681
Jim & Andy: The Great Beyond,MOVIE,Offbeat documentarian Chris Smith provides a behind-the-scenes look at how Jim Carrey adopted the persona of idiosyncratic comedian Andy Kaufman on the set of Man on the Moon.,2017,,94,"['documentation', 'comedy']","['US', 'CA']",7.6,7.544
Father of the Year,MOVIE,"Two college grads return to their hometown, where a hypothetical question -- whose dad would win in a fight? -- leads to mass mayhem.",2018,,94,['comedy'],['US'],5.2,5.414
Selection Day,SHOW,Two teen cricket prodigies struggle against their overbearing father and a system stacked against them to realize their own ambitions and identities.,2018,TV-14,25,"['drama', 'comedy', 'sport']",['IN'],7.3,7.6
Gaga: Five Foot Two,MOVIE,Go behind the scenes with pop provocateur Lady Gaga as she releases a bold new album and prepares for her Super Bowl halftime show.,2017,,100,"['documentation', 'music']",['US'],7,7.5
A Little Help with Carol Burnett,SHOW,"In this unscripted series starring comedy legend Carol Burnett, kids dish out advice to celebrities and everyday people in front of a live audience.",2018,TV-G,24,[],['US'],6.3,5.5
November 13: Attack on Paris,SHOW,"Survivors and first responders share personal stories of anguish, kindness and bravery that unfolded amid the Paris terror attacks of Nov. 13, 2015.",2018,TV-MA,54,['documentation'],['FR'],8.3,7.768
Devilman Crybaby,SHOW,"Akira Fudo learns from his best friend Ryo Asuka that demons will revive and reclaim the world from humans. With humans hopeless against this threat, Ryo suggests combining with a demon. With this, Akira becomes Devilman, a being with the power of demon but with a human heart.",2018,TV-MA,25,"['action', 'scifi', 'horror', 'animation', 'drama', 'fantasy']",['JP'],7.6,7.877
Born in Syria,MOVIE,This intimate documentary follows a group of Syrian children refugees who narrowly escape a life of torment and integrate into a foreign land.,2017,,86,"['documentation', 'european']","['DK', 'ES']",7.7,7.2
Ee Nagaraniki Emaindi,MOVIE,"Four friends, with a bittersweet history, get drunk and embark on a journey to Goa. On the trip, they lose an expensive ring which threatens to derail one of their engagement. They end up confronting one another and their own fears, as they enroll in a short film making competition in Goa to try and win the prize money for the ring.",2018,,120,"['comedy', 'drama']",['IN'],7.9,7.1
Deranged,MOVIE,A substitute teacher and an obsessive student begin an illicit affair that endangers everyone involved and blurs the line between predator and prey.,2017,,99,['thriller'],[],3.6,
Familiar Wife,SHOW,"After receiving a bizarre chance to go back in time, a man wakes up to find that his whole life — including the person he married — is different.",2018,TV-MA,62,"['scifi', 'drama', 'fantasy', 'romance']",['KR'],7.6,8.1
The Guest,SHOW,"The story of a psychic, a priest, and a detective who fight unusual crimes committed by strange powers.",2018,TV-MA,65,"['thriller', 'drama', 'crime', 'horror', 'comedy']",['KR'],8.1,8.1
The Resistance Banker,MOVIE,"In the occupied Netherlands during World War II, banker Walraven van Hall is asked to use his financial contacts to help the Dutch resistance. With his brother Gijs, he comes up with a risky plan to take out huge loans and use the money to finance the Resistance.",2018,R,124,"['drama', 'war', 'european']",['NL'],6.9,6.7
"Game Over, Man!",MOVIE,Three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists.,2018,R,101,"['comedy', 'action']",['US'],5.4,5.478
Kiss Me First,SHOW,To escape reality 17-year-old Leila turns to a secret virtual paradise. Her real journey begins when this digital Eden turns dark.,2018,TV-MA,47,"['scifi', 'drama', 'thriller']",['GB'],6.2,6.812
Champions,SHOW,"Vince, a charismatic gym owner with no ambition lives with his younger brother Michael, a gorgeous idiot. Their simple life of women and working out is put on hold when the teenage son of Vince is dropped off on their doorstep by Priya, one of his old high school flings.",2018,TV-PG,21,['comedy'],['US'],6.1,5.52
Super Monsters and the Wish Star,MOVIE,"Christmas wishes come true for Lobo, whose favorite cousin arrives for a surprise visit, and for Glorb, who wishes he could be everywhere at once!",2018,,27,['comedy'],['US'],,4.9
Flint Town,SHOW,"Over a two-year period, filmmakers embedded with cops in Flint, Michigan, reveal a department grappling with volatile issues in untenable conditions.",2018,TV-MA,45,"['documentation', 'crime', 'action']",['US'],7.8,7.5
Man Like Mobeen,SHOW,"Man Like Mobeen is a four-part series that welcomes you into the life of Mobeen Deen, a 28 year-old from Small Heath in Birmingham.  All Mobeen wants to do is follow his faith, lead a good life, and make sure his younger sister fulfils her potential. But can he juggle these when his criminal past and reputation is always chasing him?",2017,TV-MA,22,['comedy'],['GB'],8,6.7
Godzilla: The Planet Eater,MOVIE,"With no means for defeating Godzilla Earth, mankind watches as King Ghidorah, clad in a golden light, descends on the planet. The heavens and earth shake once again as the war moves to a higher dimension.",2018,PG,91,"['action', 'animation', 'scifi', 'horror']",['JP'],5.1,6.427
Heaven Without People,MOVIE,"Josephine, the matriarch of a sprawling family, is delighted to gather everyone for Easter lunch for the first time in two years. While they all share a joyful meal, an incident ignites underlying tensions between the family members and leads them gradually into chaos.",2018,,91,['drama'],['LB'],7.4,7
Welcome to Waikiki,SHOW,"Kang Dong-Goo dreams of becoming a movie director, but he is cynical due to bad luck. Cheon Joon-Ki wanted to follow in his father's footsteps and become an actor, but he is now just a minor actor. Bong-Doo-Sik came to Seoul to become a scenario writer, but things have not been easy for him.",2018,TV-MA,64,"['drama', 'comedy', 'reality']",['KR'],8.2,8.5
My ID is Gangnam Beauty,SHOW,"This romantic comedy chronicles the life of Mirae, who has always believed that her life would be better if she were born more beautiful. After she goes under the knife, she comes out looking like the beautiful woman she has always dreamed of becoming. She feels ready to take on the world for the first time, and she falls madly in love with Seok, the perfect man. Except Seok hates people who get plastic surgery.",2018,TV-MA,57,"['comedy', 'drama', 'romance']",['KR'],7.3,7.563
Wet Hot American Summer: Ten Years Later,SHOW,"A decade after their wild summer as junior counselors, the gang reunites for a weekend of bonding, hanky-panky and hair-raising adventures.",2017,TV-MA,27,['comedy'],['US'],6.9,6.493
Wheelman,MOVIE,A getaway driver for a bank robbery realizes he has been double crossed and races to find out who betrayed him.,2017,R,82,"['thriller', 'action', 'crime']",['US'],6.4,6.118
Edha,SHOW,"Revenge, passion and dark secrets push a successful fashion designer and single mother to her limits when she meets a handsome and mysterious man.",2018,TV-MA,40,"['drama', 'thriller']",['AR'],4.9,6.2
Zero,MOVIE,"Short in stature but big on love, a bachelor meets two very different women who broaden his horizons and help him find purpose in life.",2018,,164,"['comedy', 'romance', 'drama', 'scifi', 'thriller', 'fantasy', 'european']",['IN'],5.2,5.2
Heroin(e),MOVIE,"This documentary follows three women -- a fire chief, a judge and a street missionary -- as they battle West Virginia's devastating opioid epidemic.",2017,,39,['crime'],['US'],,7.1
Joan Didion: The Center Will Not Hold,MOVIE,"Griffin Dunne’s years-in-the-making documentary portrait of his aunt Joan Didion moves with the spirit of her uncannily lucid writing: the film simultaneously expands and zeroes in, covering a vast stretch of turbulent cultural history with elegance and candor.",2017,,92,['documentation'],['US'],7.5,7.1
My Travel Buddy 2,MOVIE,The sequel to Yol Arkadasim from 2017. Onur and Seref have become both housemates and colleagues within a year. Seref is not successful in managing the song career of Onur.,2018,PG-13,111,"['comedy', 'family']",['TR'],5.9,5.917
Puppy Star Christmas,MOVIE,"The Pup Star family just got bigger! And the new pups: Cindy, Rosie, Charlie, and Brody will have to learn the true meaning of Christmas. When Pup Star’s mean team, scheme to ruin Christmas, the pups end up in the North Pole to save Santa and the holiday spirit. Their adventure is filled with great pup-tastic songs to spread holiday cheer all year round.",2018,PG,90,"['family', 'comedy']",['US'],3.6,5.7
Pa Paandi,MOVIE,"‘Power’ Paandi, once a legendary stunt master who ruled the world of film stunts in his prime years is now content in living a peaceful life with his son and grandchildren. But he soon realizes that his acts that he thinks is normal and righteous, constantly irks his son who seems to taking their relationship for granted. One such overblown tiff with his son drives him to go do some soul searching, the outcome of which has many unexpected experiences.",2017,,125,"['romance', 'comedy', 'action', 'drama', 'family']",['IN'],7.4,7.04
7 Days Out,SHOW,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.",2018,TV-PG,50,['documentation'],['US'],6.8,9
Hushaaru,MOVIE,"Four engineering graduates, clueless about what life is bound to offer them, enjoy being in each other's company, making the most of their vivacious energy, sometimes desperate to get into relationships. Just when the going seems fairly smooth, a personal setback hits them hard.",2018,,140,['comedy'],['IN'],6.8,5.1
Everything Sucks!,SHOW,"It's 1996 in a town called Boring, Oregon, where high school misfits in the AV and drama clubs brave the ups and downs of teenage emotions in the VHS era.",2018,TV-14,24,"['drama', 'comedy']",['US'],7.5,7.534
Memories of the Alhambra,SHOW,"While looking for the cryptic creator of an innovative augmented-reality game, an investment firm executive meets a woman who runs a hostel in Spain.",2018,TV-MA,65,"['action', 'scifi', 'thriller', 'drama', 'romance']",['KR'],7.8,7.725
How to Be Really Bad,MOVIE,"The life of 14-year-old Lilith is similar to that of a normal teenager, but there is a peculiarity: she is the daughter of the devil and lives with him in hell. Because she is totally bored there and also wants to have fun and explore the world, she makes a pact with her father: she is allowed to go to earth for a week - but she has to convert a good person to evil there. If she succeeds in this challenge, she may stay on earth forever, otherwise she'll be waving a hell of a boring job in the bookkeeping of the underworld.",2018,,100,"['comedy', 'family', 'fantasy', 'romance', 'european']",['DE'],6.3,6.7
Coin Heist,MOVIE,"When a crisis threatens to destroy their high school, four teens hatch a daring plan to raise $10 million. Step one? Breaking into the U.S. Mint.",2017,PG,97,"['crime', 'drama', 'romance', 'thriller']",['US'],4.8,5.4
Trump: An American Dream,SHOW,"Friends, associates and critics reveal the truly American story of Donald Trump, the brash businessman who defied the odds to become U.S. president.",2017,TV-14,55,"['documentation', 'european']",['GB'],7.2,6.9
Sarkar,MOVIE,"NRI corporate Sundar Ramasamy comes to India to vote, only to learn that his vote has already been cast. While he reclaims his right legally, it also sets in motion a chain of events that eventually lead to him entering the political fray, trying to change the system.",2018,,164,"['action', 'drama']",['IN'],7,6.028
Girls Incarcerated,SHOW,"An eight-part documentary series that goes behind the scenes at Madison Juvenile Correctional Facility in Indiana, where teenage girls struggle to overcome their troubled pasts and find hope for the future.",2018,TV-MA,43,"['reality', 'documentation']",['GB'],7.3,8
Can't Help Falling in Love,MOVIE,Gab de la Cuesta is a high-strung career woman who got recently engaged to her longtime boyfriend. Her well-planned life suddenly becomes complicated when she discovers that she is actually married to a total stranger.,2017,,119,"['romance', 'comedy', 'drama']",['PH'],6.9,7.375
Ojukokoro (Greed),MOVIE,"Ojukokoro tells the story of what happens when a broke manager in a money laundering petrol station, decides to rob the petrol station that employs him but along this journey finds out that there are different kinds of criminals that are also interested in the same cash.",2017,,110,"['thriller', 'comedy', 'crime']",['NG'],6.8,5.5
Ricardo Quevedo: Hay gente así,MOVIE,"Droll comic Ricardo Quevedo hits Bogotá with a set that touches on embarrassing misunderstandings, sex talk, the thrill of being scared and more.",2018,,58,['comedy'],['CO'],6.4,7.3
Cyborg 009: Call of Justice,SHOW,"Years after taking up normal lives incognito, the cyborgs are forced to fight again when the superhuman Blessed appear with a plan for humanity.",2017,,25,"['action', 'scifi', 'animation']",['JP'],6.4,6.3
John Mulaney: Kid Gorgeous at Radio City,MOVIE,"John Mulaney relays stories from his childhood and ""SNL,"" eviscerates the value of college and laments getting older in this electric comedy special.",2018,R,65,['comedy'],['US'],7.9,7.9
Bathtubs Over Broadway,MOVIE,"When he started as a comedy writer for the Late Show with David Letterman, Steve Young had few interests and not many friends outside of his day job. But while gathering material for a segment on the show, Steve stumbled onto a few vintage record albums that would change his life forever.",2018,PG-13,87,"['comedy', 'music', 'documentation']",['US'],7.6,8
Blazing Transfer Students,SHOW,"Featuring the boys of Johnny's West, a gang of zany transfer students are recruited for a mysterious mission ordained by their shadowy principal.",2017,TV-MA,26,"['action', 'comedy']",['JP'],6.9,8
You Get Me,MOVIE,"After arguing with his girlfriend, Ali, Tyler lands in the arms of sexy new girl, Holly. The next morning, he finds that not only does Ali agree to take him back, but Holly is a new student at their school and is dead set on her new man.",2017,,89,"['romance', 'thriller', 'drama', 'crime']",['US'],4.7,5.636
A Miraculous Christmas Special: Tales of Ladybug and Cat Noir,MOVIE,"It's Christmas in Paris, a time for generosity, giving and spending time with family. At least not for everyone, Adrien has to celebrate his first Christmas without his mom, and he thinks that his father is not interested in celebrating the holiday with him this year, which inspires him the idea to run away from home as Cat Noir to sing out his anger in the cold and snow. When the news of his disappearance spreads all over Paris, Adrien's friends go out searching for him while Marinette transforms as Ladybug to search the cold and snow for the boy she secretly loves. But things get worse when she accidentally causes a man dressed as Santa to get akumatized on Christmas Eve, now Ladybug and Cat Noir have to stop him before he destroys the holiday for everyone.",2017,,21,[],"['KR', 'FR', 'JP']",,9
Spirit: Riding Free,SHOW,"In a small Western town, spunky ex-city girl Lucky forms a tight bond with wild horse Spirit while having adventures with best pals Pru and Abigail.",2017,TV-Y7,23,"['animation', 'action', 'comedy', 'drama', 'family', 'western', 'documentation']",['US'],6.5,8.1
Sandy Wexler,MOVIE,"When a hapless but dedicated talent manager signs his first client who actually has talent, his career finally starts to take off.",2017,,130,['comedy'],['US'],5.2,5.5
Creep 2,MOVIE,"After finding an ad online for “video work,” Sara, a video artist whose primary focus is creating intimacy with lonely men, thinks she may have found the subject of her dreams. She drives to a remote house in the forest and meets a man claiming to be a serial killer. Unable to resist the chance to create a truly shocking piece of art, she agrees to spend the day with him. However, as the day goes on, she discovers she may have dug herself into a hole from which she can’t escape.",2017,R,80,"['horror', 'thriller', 'drama', 'crime']",['US'],6.4,6.3
How to Get Over a Breakup,MOVIE,"The film tells the life of Maria Fe, a young woman who faces singleness after six years of relationship. Along with her two soul friends, played by Karina Jordán and Jely Reátegui, the girl must learn to be single again. On the way, you will run into old loves, new adventures and lots of fun.",2018,,104,['comedy'],['PE'],6.1,6.8
Ultimate Beastmaster,SHOW,"In this intense obstacle course series, elite athletes from the U.S. and other countries compete for cash prizes, individual glory and national pride.",2017,TV-PG,62,"['action', 'reality']",['US'],7.3,6.1
My Travel Buddy,MOVIE,"Days before Eid, a salesman fired from his job drives to meet his girlfriend's family, but the trip goes astray due to his zany travel buddy.",2017,PG-13,115,['comedy'],['TR'],6.1,5.635
Time: The Kalief Browder Story,SHOW,"The story of a teenager wrongfully charged with theft and jailed at Riker's Island prison for over 1,000 days.",2017,TV-MA,43,['documentation'],['US'],8.5,7.36
Wild District,SHOW,"After surrendering to Bogotá police, an ex-guerrilla avoids prison by working undercover to investigate a ruthless enforcer of government corruption.",2018,,45,"['drama', 'thriller', 'action', 'crime']",['CO'],8.1,7.5
Children of the Whales,SHOW,"Chakuro is the 14-year-old archivist of the Mud Whale, a nigh-utopian island that floats across the surface of an endless sea of sand. Nine in ten of the inhabitants of the Mud Whale have been blessed and cursed with the ability to use saimia, special powers that doom them to an early death. Chakuro and his friends have stumbled across other islands, but they have never met, seen, or even heard of a human who wasn't from their own. One day, Chakuro visits an island as large as the Mud Whale and meets a girl who will change his destiny.",2017,TV-14,24,"['scifi', 'action', 'drama', 'animation', 'fantasy']",['JP'],7,7.5
A Witches' Ball,MOVIE,"Every year the Witching World gathers to celebrate the newly inducted witches into their world. Beatrix (12) is eager to become part of this world, but when her pending magical status is jeopardized she needs the help of her furry best friend Muggs (voiced by Joey Fatone) to solve some magical riddles before the big event. Will Beatrix sink or soar on the night of the Witches' Ball?",2018,PG,90,"['fantasy', 'comedy', 'family']",['CA'],5.1,6.5
The Land of Steady Habits,MOVIE,"After leaving his wife and his job to find happiness, Anders begins a clumsy, heartbreaking quest to reassemble the pieces of his fractured life.",2018,,98,"['drama', 'comedy']",['US'],6.2,5.435
Sun Dogs,MOVIE,A man eager to serve his country but rejected by the Marines pairs up with a young runaway to form an unlikely team on a misguided adventure.,2018,,93,"['drama', 'comedy']","['MX', 'US']",6.3,6.8
The Resurrection of Gavin Stone,MOVIE,"Gavin Stone, a washed-up former child star, is forced to do community service at a local megachurch and pretends to be Christian so he can land the part of Jesus in their annual Passion Play, only to discover that the most important role of his life is far from Hollywood.",2017,PG,91,"['drama', 'family', 'romance', 'comedy']",['US'],6.2,6.2
Something Huge,MOVIE,"Dani Tomás (Berto Romero) is a television screenwriter disillusioned and bored of his work. One day he receives unexpected news: for a legal error he must repeat eighth grade. Now, he returns to a world he already thought he had forgotten, living new experiences and experiencing a multitude of unexplained situations and hilarious events. But he will not be alone in this epic adventure, because he will have the help of the peculiar director of the school (Carlos Areces), a police officer (Antonio de la Torre, May God forgive us) and an enigmatic classmate (Carolina Bang).",2018,,86,"['comedy', 'european']",['ES'],4.4,3.962
Hotel Transylvania: The Series,SHOW,"Mavis navigates life without her dad, Dracula, around and discovers one of the few common human and monster truths: being a teenager bites.",2017,TV-Y7,15,"['animation', 'comedy', 'family', 'fantasy', 'horror']",['US'],5.5,6.9
The Polka King,MOVIE,Local Pennsylvania polka legend Jan Lewan develops a plan to get rich that shocks his fans and lands him in jail.,2018,,95,"['comedy', 'music', 'drama']",['US'],6,5.521
Chip and Potato,SHOW,"Lovable pug Chip starts kindergarten, makes new friends and tries new things -- with a little help from Potato, her secret mouse pal.",2018,TV-Y,18,"['fantasy', 'animation', 'comedy', 'family']",['US'],6.5,8.7
In Darkness,MOVIE,A blind musician hears a murder committed in the apartment upstairs from hers that sends her down a dark path into London's gritty criminal underworld.,2018,,100,['thriller'],"['GB', 'US']",5.7,6.056
True and the Rainbow Kingdom,SHOW,"When something's wrong in the Rainbow Kingdom, bighearted guardian True and her best friend, Bartleby, are there to grant wishes and save the day.",2017,TV-Y,21,"['comedy', 'family', 'fantasy', 'animation']",['CA'],7.2,8.4
Girlfriend's Day,MOVIE,"When he's caught up in a deadly conspiracy, an unemployed greeting card writer must create the perfect card for a new holiday to save his skin.",2017,,70,"['drama', 'comedy']",['US'],5.2,4.9
Revolutionary Love,SHOW,"Byun Hyuk is the younger son of a rich conglomerate family who was born with a silver spoon in his mouth. The lack of difficulties in life contributed to the carefree and hopelessly positive mindset of his. One day, he meets a girl who is everything that he is not. This drama is a depiction of youth where they learn about love and friendship.",2017,TV-MA,68,"['comedy', 'romance']",['KR'],6.9,8.4
Gurgaon,MOVIE,"A real estate baron Kehri Singh manages 'Preet Real Estate' which he runs in his daughter's name whom he consider's to be his lucky mascot. A sidelined and insulted Nikki Singh is ignored by his father and is considered to be insolent, useless and unlucky. In order to pay off a huge debt to a local criminal, Nikki sets off a chilling event that forces his father to revisit his dark past and confront a brutal truth.",2017,,107,"['thriller', 'crime']",['IN'],6.4,4.853
Kuroko's Basketball the Movie: Last Game,MOVIE,"Shortly after the Inter-High of Kagami and Kuroko's second-year, a street basketball team from the USA called Team Jabberwock came to Japan to play a friendly match against a Japanese college-level street basketball team, Team Strky. Despite their best efforts, Strky is brutally crushed by Jabberwock. After the match, the Jabberwock players insult the players from Strky and all of Japanese basketball, claiming Strky's basketball was at the same level as monkeys and telling the players and crowds to quit playing basketball and kill themselves.  As a revenge match, Kagetora assembles a dream team of all members of Generation of Miracles plus Kuroko Tetsuya and Kagami Taiga, along with bench players Hyūga Junpei, Takao Kazunari, and Wakamatsu Kōsuke, forming Team Vorpal Swords, with the hopes of reclaiming the pride of Japanese basketball.",2017,,90,"['animation', 'drama', 'sport']",['JP'],7.7,7.755
Eternal Love,SHOW,"Three hundred years ago, Bai Qian stood on the Zhu Xian Terrace, turned around and jumped off without regret. Ye Hua stood by the bronze mirror to witness with his own eyes her death. Three hundred years later, in the East Sea Dragon Palace, the two meet unexpectedly. Another lifetime another world, after suffering betrayal Bai Qian no longer feels anything, yet she can't seem to comprehend Ye Hua's actions. Three lives three worlds, her and him, are they fated to love again?",2017,TV-14,45,"['drama', 'scifi', 'romance', 'fantasy', 'family']",['CN'],8.3,7.611
Just Between Lovers,SHOW,Two survivors of a building collapse discover support and love in each other as they overcome the pain of loss and reconstruct a hopeful future.,2017,TV-14,73,"['drama', 'romance']",['KR'],8.2,7.779
The Plagues of Breslau,MOVIE,Every day at 6 pm a serial killer kills another person. Police officer Helena Rus thinks the killings are done by one man only and decides to reveal the killer's identity by getting back in 18th century history of the city.,2018,,110,"['thriller', 'action', 'crime', 'european']",['PL'],5.9,6.3
Inside the Criminal Mind,SHOW,Explore the psychological machinations and immoral behavior that define the most nefarious types of criminals.,2018,TV-MA,49,"['crime', 'documentation']",['US'],5.4,6.1
Legend Quest,SHOW,"When an evil force threatens his village, a gifted teen who can talk to ghosts puts his skills to good use, one legend at a time.",2017,TV-Y7,26,"['animation', 'comedy', 'family', 'fantasy']",['MX'],7.3,7.9
Samurai Gourmet,SHOW,Recent retiree Takeshi rediscovers his passion for food and life by getting in touch with his inner warrior and eating what he truly desires.,2017,,21,['comedy'],['JP'],8.1,7.811
Mr. Roosevelt,MOVIE,A young woman returns home and must confront her ex-boyfriend when an unexpected tragedy occurs.,2017,,90,['comedy'],['US'],6.2,6.2
Luna Petunia Return to Amazia,SHOW,"Luna Petunia returns to magical Amazia, adding memories to her scrapbook with old friends -- and a new pal from the Animal Empire.",2018,TV-Y,24,['animation'],['US'],5.1,4
Crazy Delicious,SHOW,"Everyday meals are turned into extraordinary culinary creations in a magical food competition on an edible set. The UK's most talented food lovers are challenged to produce meals that must impress with originality, visuals and extraordinary flavours.",2017,,47,['reality'],['GB'],9.6,7.5
Yoo Byung Jae: Discomfort Zone,MOVIE,Daring comedian Yoo Byung-jae connects criticism he's received from the general public to some of the most touchy issues in current Korean society.,2018,,54,['comedy'],['KR'],,6.4
The Day I Met El Chapo: The Kate del Castillo Story,SHOW,"Mexican superstar actress Kate del Castillo reveals the untold story of her encounter with El Chapo Guzmán, the world’s most-wanted drug lord.",2017,TV-MA,55,['documentation'],['MX'],6.8,5.9
Back Street Girls -GOKUDOLS-,SHOW,"A group of 3 yakuza failed their boss for the last time. After messing up an important job, the boss gave them 2 choices: honorably commit suicide, or go to Thailand to get a sex reassignment surgery in order to become ""female"" idols. After a gruesome year training to become idols, they successfully debut, with overwhelming popularity, much to their dismay. This is where their tragedy truly begins.",2018,TV-MA,24,"['comedy', 'animation']",['JP'],6.6,6.308
The Invisible Guardian,MOVIE,"When the naked body of a teenage girl is found on the banks of the River Baztán, it is quickly linked to a similar murder one month before. Soon, rumours are flying in the nearby village of Elizondo. Is this the work of a ritualistic killer or is it the basajaun, the ‘invisible guardian’ of Basque mythology?  Inspector Amaia Salazar leads the investigation, taking her back to the heart of the Basque country where she was born, and where she hoped never to return. Shrouded in mist and surrounded by impenetrable forests, it is a place of unresolved conflicts and a terrible secret from Amaia’s childhood that will come back to haunt her.  Faced with the superstitions of the village, Amaia must fight the demons of her past to confront the reality of a serial killer on the loose. But as she is drawn deeper into the investigation, she feels the presence of something darker lurking in the shadows…",2017,,129,"['thriller', 'crime', 'european']","['DE', 'ES']",6.4,6.5
My Shy Boss,SHOW,The isolated life of an extreme introvert is thrown out of order when his company hires a new employee: a cheery extrovert who's not all she seems.,2017,TV-MA,71,"['comedy', 'drama', 'romance']",['KR'],7.1,7.396
Clinical,MOVIE,"A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history.",2017,,104,"['thriller', 'horror']",['US'],5.1,5.3
High & Low The Movie,MOVIE,"S.W.O.R.D. Chiku is a devastated and dangerous town with 5 gangs - Sannoh Rengokai, White Rascals, Oya Kohkoh, Rude Boys and Daruma Ikka - fighting fiercely. The name S.W.O.R.D. comprises of the first letter in each of these gangs. Before these 5 gangs, the legendary Mugen gang dominated the town. Mugen and the Amamiya Brothers (who did not submit to Mugen) clashed and Mugen disbanded, but ...",2017,,129,['action'],['JP'],6.4,6.1
Bending the Arc,MOVIE,"About the extraordinary doctors and activists—including Paul Farmer, Jim Yong Kim, and Ophelia Dahl—whose work 30 years ago to save lives in a rural Haitian village grew into a global battle in the halls of power for the right to health for all.",2017,,102,['documentation'],['US'],8.1,8.333
Robozuna,SHOW,A boy and his homemade robot enter the toughest competition in the universe while attempting to free their oppressed home from an evil empire.,2018,TV-Y,23,"['animation', 'family']",['GB'],6.8,7.5
Millennials,SHOW,"Centered around 3 couples lives in Argentina as they deal with life, personal problems, and each other. Three boys work in the same office and each of their girlfriends end up becoming friends. Lies and drama build up and tie all of their lives together in a way.",2018,TV-MA,33,['drama'],['AR'],,8.5
In the Family,MOVIE,"The neurotic Fikret and tavern singer Solmaz, whose 21 year long relationships end on the same day, meet through a funny coincidence. When Solmaz's daughter Zeynep decides to marry her lover from Adana, the ever-fearful Fikret ends up having to play the role of his life. Intended at first to be kept in the family, the wedding becomes a much bigger event upon the insistence of the groom's relatives. Can our heroes come to terms with the traditional Adana family who carry guns and own a kebab restaurant chain, and see the wedding through without mishaps?",2017,PG-13,124,['comedy'],['TR'],7.7,6.693
Spyder,MOVIE,A surveillance expert who wants to help people comes across a foe who is the very definition of evil. Can he stop the man before he destroys everything?,2017,,155,"['thriller', 'crime', 'action']",['IN'],6.3,5.398
The Hows of Us,MOVIE,A young couple dream of growing old together as they deal with the struggles of being in a long-term relationship.,2018,,117,"['drama', 'comedy', 'romance']",['PH'],6.8,7
God Calling,MOVIE,"When Sade, the central character suffers a personal tragedy, she is taken on a journey of self-discovery and faith which transforms the lives all those around her. God Calling shines a spotlight on modern day spirituality by imaginatively exploring what it might look like for Abraham or Prophet Elijah to be Nigerian in 2018, and have to contend with disbelief as well as modern-day realities such as smartphones, and social media.",2018,,120,['drama'],[],,6.7
